LQFP144;BGA144;PinName;Default;ALT0;ALT1;ALT2;ALT3;ALT4;ALT5;ALT6;ALT7;EZPort
—;L5;RTC_WAKEUP_B;RTC_WAKEUP_B;RTC_WAKEUP_B;;;;;;;;
—;M5;NC;NC;NC;;;;;;;;
—;A10;NC;NC;NC;;;;;;;;
—;B10;NC;NC;NC;;;;;;;;
—;C10;NC;NC;NC;;;;;;;;
1;D3;PTE0;ADC1_SE4a;ADC1_SE4a;PTE0;SPI1_PCS1;UART1_TX;SDHC0_D1;TRACE_CLKOUT;I2C1_SDA;RTC_CLKOUT;
2;D2;PTE1/LLWU_P0;ADC1_SE5a;ADC1_SE5a;PTE1/LLWU_P0;SPI1_SOUT;UART1_RX;SDHC0_D0;TRACE_D3;I2C1_SCL;SPI1_SIN;
3;D1;PTE2/LLWU_P1;ADC1_SE6a;ADC1_SE6a;PTE2/LLWU_P1;SPI1_SCK;UART1_CTS_b;SDHC0_DCLK;TRACE_D2;;;
4;E4;PTE3;ADC1_SE7a;ADC1_SE7a;PTE3;SPI1_SIN;UART1_RTS_b;SDHC0_CMD;TRACE_D1;;SPI1_SOUT;
5;E5;VDD;VDD;VDD;;;;;;;;
6;H3;VSS;VSS;VSS;;;;;;;;
7;E3;PTE4/LLWU_P2;DISABLED;;PTE4/LLWU_P2;SPI1_PCS0;UART3_TX;SDHC0_D3;TRACE_D0;;;
8;E2;PTE5;DISABLED;;PTE5;SPI1_PCS2;UART3_RX;SDHC0_D2;;FTM3_CH0;;
9;E1;PTE6/LLWU_P16;DISABLED;;PTE6/LLWU_P16;SPI1_PCS3;UART3_CTS_b;I2S0_MCLK;;FTM3_CH1;USB0_SOF_OUT;
10;F4;PTE7;DISABLED;;PTE7;;UART3_RTS_b;I2S0_RXD0;;FTM3_CH2;;
11;F3;PTE8;DISABLED;;PTE8;I2S0_RXD1;;I2S0_RX_FS;LPUART0_TX;FTM3_CH3;;
12;F2;PTE9/LLWU_P17;DISABLED;;PTE9/LLWU_P17;I2S0_TXD1;;I2S0_RX_BCLK;LPUART0_RX;FTM3_CH4;;
13;F1;PTE10/LLWU_P18;DISABLED;;PTE10/LLWU_P18;I2C3_SDA;;I2S0_TXD0;LPUART0_CTS_b;FTM3_CH5;USB1_ID;
14;G4;PTE11;DISABLED;;PTE11;I2C3_SCL;;I2S0_TX_FS;LPUART0_RTS_b;FTM3_CH6;;
15;G3;PTE12;DISABLED;;PTE12;;;I2S0_TX_BCLK;;FTM3_CH7;;
16;E6;VDD;VDD;VDD;;;;;;;;
17;F7;VSS;VSS;VSS;;;;;;;;
18;F6;VSS;VSS;VSS;;;;;;;;
19;H1;USB0_DP;USB0_DP;USB0_DP;;;;;;;;
20;H2;USB0_DM;USB0_DM;USB0_DM;;;;;;;;
21;G1;VREG_OUT;VREG_OUT;VREG_OUT;;;;;;;;
22;G2;VREG_IN0;VREG_IN0;VREG_IN0;;;;;;;;
23;J2;VREG_IN1;DISABLED;VREG_IN1;;;;;;;;
24;K2;USB1_VSS;DISABLED;USB1_VSS;;;;;;;;
25;J1;USB1_DP;DISABLED;USB1_DP;;;;;;;;
26;K1;USB1_DM;DISABLED;USB1_DM;;;;;;;;
27;L1;USB1_VBUS;DISABLED;USB1_VBUS;;;;;;;;
28;L2;ADC0_DM0/ADC1_DM3;ADC0_DM0/ADC1_DM3;ADC0_DM0/ADC1_DM3;;;;;;;;
29;M1;ADC1_DP0/ADC0_DP3;ADC1_DP0/ADC0_DP3;ADC1_DP0/ADC0_DP3;;;;;;;;
30;M2;ADC1_DM0/ADC0_DM3;ADC1_DM0/ADC0_DM3;ADC1_DM0/ADC0_DM3;;;;;;;;
31;H5;VDDA;VDDA;VDDA;;;;;;;;
32;G5;VREFH;VREFH;VREFH;;;;;;;;
33;G6;VREFL;VREFL;VREFL;;;;;;;;
34;H6;VSSA;VSSA;VSSA;;;;;;;;
35;K3;ADC1_SE16/CMP2_IN2/ADC0_SE22;ADC1_SE16/CMP2_IN2/ADC0_SE22;ADC1_SE16/CMP2_IN2/ADC0_SE22;;;;;;;;
36;J3;ADC0_SE16/CMP1_IN2/ADC0_SE21;ADC0_SE16/CMP1_IN2/ADC0_SE21;ADC0_SE16/CMP1_IN2/ADC0_SE21;;;;;;;;
37;M3;VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18;VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18;VREF_OUT/CMP1_IN5/CMP0_IN5/ADC1_SE18;;;;;;;;
38;L3;DAC0_OUT/CMP1_IN3/ADC0_SE23;DAC0_OUT/CMP1_IN3/ADC0_SE23;DAC0_OUT/CMP1_IN3/ADC0_SE23;;;;;;;;
39;L4;DAC1_OUT/CMP0_IN4/CMP2_IN3/ADC1_SE23;DAC1_OUT/CMP0_IN4/CMP2_IN3/ADC1_SE23;DAC1_OUT/CMP0_IN4/CMP2_IN3/ADC1_SE23;;;;;;;;
40;M7;XTAL32;XTAL32;XTAL32;;;;;;;;
41;M6;EXTAL32;EXTAL32;EXTAL32;;;;;;;;
